gene_name rank count
ANKFN1 33.5 1
PCTP 15.5 5
SEC61G 17.5 2
GPX8 73.5 2
TXNL1 20 1
WDR7 20 2
PHF8 22.5 1
LENG8 271.5 1
TSEN34 267 1
FAM83B 40 4
FIP1L1 39.5 2
TINAG 15.5 1
ESM1 68 1
DHX29 68 1
ATP6V1H 15.5 1
APEX2 109 1
TSR2 104 1
MC3R 16.5 1
IRX5 58.5 2
COIL 60.5 1
MRPL15 22 1
UBE2S 318.5 5
TNNT1 304.5 4
RPL28 303.5 4
ZNF628 294.5 1
TNNI3 292 1
OR4C6 148 1
OR5L2 125 1
OR4C11 124.5 1
TFAP2C 10 1
MUCL1 42 1
GFRAL 20 1
HMGCLL1 20 1
BMP5 20 1
RRAGB 28 1
U2AF2 321 4
SBK2 292.5 2
OR6C6 46.5 2
DST 64.5 3
RAB23 64.5 1
ZNF580 351 3
ZNF524 330 1
GALP 366 2
OR8K5 98 2
OR8I2 97 1
RAE1 99 4
PMEPA1 94 4
CCT6A 71.5 6
OR6C3 84.5 1
OR6C2 74.5 1
OR10P1 74.5 1
CHCHD2 61 3
OR8U1 131 2
OR10AG1 124 1
OR5M11 106 1
SRD5A3 21.5 2
EXOC1 50 1
CEP135 50 1
TCF12 49.5 1
PRIM2 55 2
PCDH15 10 2
SUPT4H1 65 3
RAB22A 65.5 4
NPEPL1 65.5 2
ZNF479 16 1
NLRP5 86.5 1
ZNF667 77 1
ZNF787 75.5 1
CCDC66 32 1
ARHGEF3 32 1
LRRC55 15.5 1
ACTBL2 10 1
SPIN3 24 1
PRKAA2 24 1
ZNF587 362.5 4
ZNF460 330 1
ZNF671 320.5 1
AURKC 319.5 2
ZNF814 312 1
ZNF716 15.5 2
ZWINT 25 1
PENK 10 1
DAB1 25 3
PLK2 40 1
VMP1 78.5 4
RPS6KB1 72 2
MED19 58.5 2
TMX2 77 1
CTNND1 75 1
ZNF831 16 1
TRIM28 474.5 4
ZNF274 462.5 3
ZSCAN18 461.5 3
ZNF606 447 1
ZNF417 436 1
MZF1 435.5 2
A1BG 435.5 1
UBE2M 434.5 3
SYCP2 45.5 4
VRK2 10 2
CHMP2A 363.5 1
FAM217B 37.5 1
CDH26 37.5 1
XRCC6BP1 10 1
SLC16A7 25 7
RP11-362K2.2 10 8
SDCBP 56.5 1
BCAS3 22.5 1
GTF2A2 34 1
TCN1 94 1
MS4A4E 83.5 1
TLK2 74 6
INTS2 15.5 1
TOX 10 1
MS4A6A 60 1
MED13 15.5 1
TFAM 38 1
JKAMP 41.5 1
DIAPH3 17.5 1
CYP2J2 28.5 1
DDB1 191 1
PRPF19 188 1
CCDC86 167.5 1
RORA 15 2
PTPRG 30 1
TANC2 10 2
NFIA 10 5
RAB2A 34 1
CHD7 34 2
FAM19A2 10 8
TM2D1 21.5 2
USP15 27.5 4
CDH8 10 1
ARHGEF9 17.5 1
CCT4 46.5 1
CDK1 58 4
ZNF727 10 1
KHDRBS2 16 1
ASPH 33 1
KANK4 21 1
SLC2A4RG 166.5 1
ARFRP1 155 1
PRPF6 154.5 2
TLN2 27.5 1
OTX1 37 2
AVPR1A 36.5 5
MYT1 59 1
TMEM26 17.5 1
NKAIN3 10 1
XPOT 85 4
TBK1 77 3
PPM1H 51 1
MTMR8 16.5 1
RTKN2 31 2
DPY19L2 44 3
SRGAP1 44 5
MARK2 119 1
STIP1 108 1
ZNF736 36 1
CEP112 17.5 2
PRKCA 64 8
HELZ 64 1
TECRL 10 1
PTP4A1 39 6
BHLHE22 16 4
EGR2 21.5 1
LAS1L 23 1
AK4 65.5 1
EYS 10 6
CYP7B1 15 2
NRBF2 28.5 1
LEMD3 36 2
JMJD1C 15.5 1
PSMD12 70 1
EPHA5 10 3
BPTF 56 2
KPNA2 56 1
CFL1 131.5 1
DRAP1 119.5 1
KDM2A 284 2
RAB1B 259 1
BRMS1 258 2
KLC2 238.5 1
CCDC102B 33.5 1
DOK6 33.5 1
CCS 174 2
PC 165 3
LLPH 33 1
TMBIM4 29 1
GPHN 10 1
CAND1 61 10
ABCA8 16.5 1
GRIP1 10 5
PDE4B 43.5 1
SGIP1 43.5 1
TRIM55 21 2
AAGAB 42 1
MAP2K5 42 1
CTNNA3 10 5
EIF2S1 35 1
DYRK2 53 17
MAP2K6 24 3
RTTN 36 1
YIPF6 45 1
EFNB1 45 2
KCNJ2 16.5 2
CHKA 25 1
PPP6R3 22 1
CENPC 21 2
UBA6 21 1
IFNG 15.5 2
PIAS1 57.5 1
MDM1 28.5 5
IL22 27.5 1
ESRP2 55.5 1
IL26 15.5 1
MRPL21 53.5 2
DNAJC12 49.5 2
SIRT1 49.5 2
RP11-723G8.2 10 3
AUTS2 15 2
MYEOV 30.5 6
TPCN2 22 1
DEPDC1 10 1
NIP7 176 1
TERF2 172.5 1
NQO1 166 1
CPM 10 1
CPSF6 22 1
FADD 36 30
CTTN 33 10
LMBRD1 10 1
UGT2B11 57 2
SULT1E1 57 1
UGT2B28 106.5 1
ANO1 22 2
CBLN2 10 1
SLC39A11 54.5 4
SHANK2 38 10
DHCR7 94.5 9
DNA2 37 1
CNOT2 48.5 13
KLHL1 10 1
SF3B3 72.5 1
MYRFL 15 1
SNRPG 52 1
CALN1 16.5 2
KCNMB4 16.5 2
TSPAN8 27.5 4
NUMA1 91.5 2
NADSYN1 88.5 3
PPA1 241.5 1
HK1 238.5 2
NEUROG3 231 2
SUPV3L1 230.5 1
COG1 21 1
COL9A1 20.5 1
PTPRR 10 2
GRSF1 98 1
DCK 93.5 1
POM121 17.5 1
LAMTOR1 85.5 1
SDK2 10 2
EIF4E3 23 1
SMAP1 15.5 1
B3GAT2 15.5 1
FXN 58 1
CLPB 54.5 1
ARAP1 43.5 2
SLC4A4 29.5 1
DACH1 10 4
MSC 32 1
RAB21 48.5 1
MZT1 28 1
BORA 28 1
PKM 114.5 1
ARIH1 106 3
SUMO2 328 1
GRB2 311.5 2
FDXR 310.5 1
