gene	pubmed_invasion	pubmed_cancer	pubmed_growth	pubmed_migration	pubmed_prolifiration
ADRBK2	0	6	0	0	1
ADRM1	2	26	3	3	9
ADSL	0	12	3	2	4
ADSS	0	4	0	0	1
ADSSL1	0	1	0	0	0
ADTRP	0	3	1	0	1
AE000662.92	0	0	0	0	0
AEBP1	1	31	5	3	11
AEBP2	0	9	2	2	1
AEN	0	10	0	0	3
AES	0	3482	25	5	51
AF131215.5	0	5	0	0	0
AF165138.7	0	0	0	0	0
AF196779.12	0	0	0	0	0
AFAP1	8	120	11	17	56
AFAP1L1	4	4	1	1	1
AFAP1L2	1	7	1	0	5
AFF1	0	12	3	1	4
AFF2	0	6	0	1	3
AFF3	2	17	0	1	2
AFF4	0	17	6	1	8
AFG3L2	0	2	1	0	3
AFM	12	1067	162	119	199
AFMID	0	6	2	0	1
AFP	24	3666	148	39	291
AFTPH	0	1	0	0	1
AGA	1	271	19	4	33
AGAP1	1	3	0	4	0
AGAP10	0	0	0	0	0
AGAP2	2	49	7	6	25
AGAP2-AS1	2	49	7	3	28
AGAP3	0	5	0	0	1
AGAP4	0	0	0	0	0
AGAP5	0	0	0	0	0
AGAP6	0	0	0	0	0
AGAP7	0	0	0	0	0
AGAP8	0	0	0	0	0
AGAP9	0	0	0	0	0
AGBL1	0	2	0	0	0
AGBL2	0	9	2	0	2
AGBL3	0	0	0	0	0
AGBL4	0	1	0	0	0
AGBL5	0	1	0	0	0
AGER	1	49	2	4	8
AGFG1	1	3	1	0	1
AGFG2	0	0	0	0	0
AGGF1	0	17	1	2	4
AGK	0	34	1	1	14
AGL	0	35	4	3	7
AGMAT	0	3	0	2	4
AGMO	0	2	0	0	0
AGO1	1	48	4	1	8
AGO2	8	314	55	29	129
AGO3	0	7	1	0	2
AGO4	0	10	0	0	2
AGPAT1	0	10	0	0	3
AGPAT2	1	11	3	0	2
AGPAT3	0	4	0	0	0
AGPAT4	0	6	1	0	0
AGPAT5	0	2	1	0	1
AGPAT6	0	2	0	0	1
AGPAT9	0	5	1	0	3
AGPS	0	22	2	2	13
AGR2	1	256	13	20	46
AGR3	0	31	2	1	2
AGRN	0	17	1	0	3
AGRP	0	29	4	0	6
AGT	2	230	12	3	36
AGTPBP1	0	2	0	0	0
AGTR1	3	74	8	6	18
AGTR2	0	16	2	0	9
AGTRAP	0	3	0	0	1
AGXT	0	12	0	0	1
AGXT2	0	2	0	0	0
AHCTF1	0	4	1	0	1
AHCY	1	31	1	1	7
AHCYL1	0	6	0	0	0
AHCYL2	0	1	0	0	0
AHDC1	0	4	1	0	0
AHI1	1	4	0	1	1
AHNAK	5	74	7	15	19
AHNAK2	0	28	0	4	5
AHR	29	2474	121	113	398
AHRR	0	84	8	1	9
AHSA1	0	9	1	2	3
AHSA2	0	1	0	0	0
AHSG	0	44	0	1	2
AHSP	0	3	0	0	1
AICDA	0	20	1	2	8
AIDA	0	16	3	2	2
AIF1	2	22	2	9	6
AIF1L	0	4	1	1	0
AIFM1	1	26	7	1	7
AIFM2	1	23	3	3	6
AIFM3	0	4	0	1	2
AIG1	0	4	0	0	0
AIM1	0	18	2	0	1
AIM1L	0	4	0	0	0
AIM2	2	136	16	9	37
AIMP1	0	18	1	0	7
AIMP2	0	33	6	2	6
AIP	0	445	10	3	36
AIPL1	0	0	0	0	1
AIRE	0	38	0	4	13
AJAP1	2	21	0	6	5
AJUBA	0	53	12	8	17
AK1	0	15	0	1	3
AK2	0	14	5	3	7
AK3	0	11	2	2	0
AK4	0	25	0	1	7
AK5	1	6	0	1	0
AK7	0	5	0	0	0
AK8	0	0	0	0	0
AK9	0	2	0	0	0
AKAP1	0	6	0	0	1
AKAP10	0	6	0	0	0
AKAP11	0	3	2	0	1
AKAP12	2	87	5	11	18
AKAP13	0	28	3	2	4
AKAP14	0	1	0	0	0
AKAP17A	0	0	0	0	0
AKAP2	0	9	0	2	1
AKAP3	0	7	1	0	0
AKAP4	0	27	2	0	2
AKAP5	0	3	0	0	0
AKAP6	0	6	0	0	1
AKAP7	0	4	0	1	0
AKAP8	1	6	2	0	1
AKAP8L	0	3	1	0	2
AKAP9	0	34	1	4	5
AKIP1	3	20	1	2	8
AKIRIN1	0	2	0	0	1
AKIRIN2	0	5	3	0	4
AKNA	0	9	0	0	1
AKNAD1	0	2	0	0	0
AKR1A1	0	22	2	0	6
AKR1B1	0	88	6	2	13
AKR1B10	0	190	12	7	34
AKR1B15	0	3	0	0	0
AKR1C1	0	143	7	4	23
AKR1C2	3	114	3	4	22
AKR1C3	3	299	13	5	45
AKR1C4	0	32	1	0	1
AKR1CL1	0	1	0	0	0
AKR1D1	0	7	0	0	1
AKR1E2	0	1	0	0	0
AKR7A2	0	10	0	0	2
